time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
cpdf-reformat,449515968.,0.,449515991.,0.,444797388.,nan,449515968.,0.
cpdf-squeeze,403656418.,0.,403656441.,0.,386787458.,0.,403656418.,0.
cpdf-transform,55783345.,0.,55783365.,0.,55783336.,0.,55783345.,0.
jsontrip-sample,7738822.,0.,7738822.,0.,5117393.,0.,7738822.,0.
kb,91531263.,0.,91531263.,0.,90482693.,0.,91531263.,0.
kb-no-exc,37609474.,0.,37609474.,0.,37609474.,nan,37609474.,0.
lexifi-g2pp,1679022385.,0.,1679022387.,0.,1579408257.,0.,1679022385.,0.
menhir-fancy,2670366.,0.,2670369.,0.,1359670.,0.,2670366.,0.
menhir-sql,1033056840.,0.,1033056843.,0.,1007629239.,nan,1033056840.,0.
menhir-standard,3109557.,0.,3109559.,0.,2585276.,0.,3109557.,0.
minilight,9747578753.,0.,9747578753.,0.,9665266779.,0.,9747578753.,0.
numal-durand-kerner-aberth,77977828.,0.,77977830.,0.,76667114.,0.,77977828.,0.
numal-fft,265590810.,0.,265590812.,0.,274390357.,0.,265590810.,0.
numal-k-means,104274928.,0.,104274928.,0.,2563666.,0.,104274928.,0.
numal-levinson-durbin,1001931677.,0.,1001931677.,0.,964969373.,0.,1001931677.,0.
numal-lu-decomposition,543585142.,0.,543585142.,0.,2318861.,0.,543585142.,0.
numal-naive-multilayer,2171024504.,0.,2171024504.,0.,2163946625.,0.,2171024504.,0.
numal-qr-decomposition,1712409570.,0.,1712409570.,0.,1645562910.,0.,1712409570.,0.
numal-rnd_access,201575922.,29540.0928908,201713898.,48694.2013796,1405290.,865430.021117,201626746.,165270.653753
numal-simple_access,640771165.,0.,640771165.,0.,227632419.,0.,640771165.,0.
sequence,752030057.,0.,752030057.,0.,749670770.,0.,752030057.,0.
sequence-cps,1502506087.,0.,1502506087.,0.,1502243949.,0.,1502506087.,0.
setrip,172397946.,0.,172397946.,0.,169514388.,0.,172397946.,0.
setrip-smallbuf,172398261.,0.,172398261.,0.,171087555.,0.,172398261.,0.

major_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,1065.,0.,1065.,0.,979.,0.,1065.,0.
bdd,617964.,0.,617964.,0.,583196.,0.,617964.,0.
cpdf-merge,95256868.,0.,95161531.,0.,90412572.,nan,95161553.,0.
cpdf-reformat,75782385.,0.,75782373.,0.,75226835.,nan,75782385.,0.
cpdf-squeeze,138963878.,0.,138963858.,0.,132492420.,0.,138963878.,0.
cpdf-transform,28027018.,0.,28027020.,0.,28027018.,0.,28027018.,0.
jsontrip-sample,29490.,0.,29490.,0.,26478.,0.,29490.,0.
kb,4878177.,0.,4878177.,0.,4817598.,0.,4878177.,0.
kb-no-exc,4644391.,0.,4644391.,0.,4644391.,nan,4644391.,0.
lexifi-g2pp,280758.,0.,280760.,0.,265899.,0.,280758.,0.
menhir-fancy,327888.,0.,327891.,0.,272102.,0.,327888.,0.
menhir-sql,56262857.,0.,56262863.,0.,55248631.,nan,56262857.,0.
menhir-standard,270152.,0.,270154.,0.,242338.,0.,270152.,0.
minilight,10645660.,0.,10645660.,0.,10557519.,0.,10645660.,0.
numal-durand-kerner-aberth,231819.,0.,231811.,0.,227979.,0.,231819.,0.
numal-fft,140413009.,0.,140413011.,0.,139784461.,0.,140413009.,0.
numal-k-means,535719.,0.,535719.,0.,526364.,0.,535719.,0.
numal-levinson-durbin,250058479.,0.,250058479.,0.,240820094.,0.,250058479.,0.
numal-lu-decomposition,7775992.,0.,7775992.,0.,4624732.,0.,7775992.,0.
numal-naive-multilayer,1260760.,0.,1260760.,0.,1256522.,0.,1260760.,0.
numal-qr-decomposition,2682763.,0.,2682763.,0.,2594502.,0.,2682763.,0.
numal-rnd_access,200000221.,0.,200000221.,0.,200000217.,0.,200000221.,0.
numal-simple_access,220001977.,0.,220001977.,0.,208961135.,0.,220001977.,0.
sequence,37423.,0.,37423.,0.,37288.,0.,37423.,0.
sequence-cps,201428.,0.,201428.,0.,201401.,0.,201428.,0.
setrip,13313.,0.,13313.,0.,13231.,0.,13313.,0.
setrip-smallbuf,13351.,0.,13351.,0.,13317.,0.,13351.,0.

promoted_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,7.72814227674e-05,0.,7.72814227674e-05,0.,0.000600942298868,0.,7.72814227674e-05,0.
bdd,0.00611328848776,8.91129473883e-19,0.00611328848776,8.91129473883e-19,0.0056885915078,1.77978873321e-18,0.00611328848776,8.91129473883e-19
cpdf-merge,0.42291969324,0.,0.422395666028,6.79869977755e-17,0.435350988852,nan,0.422395865049,0.
cpdf-reformat,0.145029088266,0.,0.14502905415,0.,0.145318616394,nan,0.145029088266,0.
cpdf-squeeze,0.305440848955,0.,0.305440782004,0.,0.312194993665,0.,0.305440848955,0.
cpdf-transform,0.467827789818,0.,0.467827657941,0.,0.467827865297,0.,0.467827789818,0.
jsontrip-sample,0.00168190972735,5.43396431187e-18,0.00168190972735,5.43408931536e-18,0.00195490164621,6.08494993293e-18,0.00168190972735,4.78336539763e-18
kb,0.0532943481835,7.41798960903e-18,0.0532943481835,7.41798960903e-18,0.0532424471495,7.35980840008e-18,0.0532943481835,7.41798960903e-18
kb-no-exc,0.123487847769,1.45551466459e-17,0.123487847769,1.44948766286e-17,0.123487847769,nan,0.123487847769,1.44948766286e-17
lexifi-g2pp,0.00016716870633,0.,0.0001671698973,2.96920993383e-20,0.000168304172668,0.,0.00016716870633,0.
menhir-fancy,0.0732457648128,3.06030558521e-16,0.0732468059658,3.19951818683e-16,0.103578074092,3.05897905477e-16,0.0732457648128,2.92136641594e-16
menhir-sql,0.0447931267751,0.,0.044793132453,0.,0.0451992431712,nan,0.0447931267751,8.49837472194e-18
menhir-standard,0.0427096206952,1.25126153967e-16,0.0427102364033,6.25664479298e-17,0.0410087743049,1.73720697542e-16,0.0427096206952,1.25134644637e-16
minilight,0.0010904098617,0.,0.0010904098617,0.,0.00109057672602,0.,0.0010904098617,0.
numal-durand-kerner-aberth,0.0029718832384,3.50695557665e-18,0.00297178056891,2.19236534137e-18,0.00297260439463,1.3145252739e-18,0.0029718832384,3.50778454619e-18
numal-fft,0.508940972016,0.,0.508940975714,0.,0.490328809186,0.,0.508940972016,0.
numal-k-means,0.0034566698526,8.92507865231e-19,0.0034566698526,8.92507865231e-19,0.136948026771,5.61384157879e-17,0.0034566698526,8.92507865231e-19
numal-levinson-durbin,3.49145563545e-05,0.,3.49145563545e-05,0.,3.49441142315e-05,0.,3.49145563545e-05,0.
numal-lu-decomposition,0.000549014270151,0.,0.000549014270151,0.,0.0675926672621,0.,0.000549014270151,0.
numal-naive-multilayer,0.000580523157467,0.,0.000580523157467,0.,0.000580463485323,0.,0.000580523157467,0.
numal-qr-decomposition,0.00156661411323,0.,0.00156661411323,0.,0.00157661793678,0.,0.00156661411323,0.
numal-rnd_access,7.04449222486e-07,1.03234033424e-10,7.03967379271e-07,1.69939353068e-10,0.000348198031355,0.000545374433611,7.04271881191e-07,5.77281915884e-10
numal-simple_access,0.312126869816,0.,0.312126869816,0.,0.830114870413,0.,0.312126869816,0.
sequence,4.96589194174e-05,7.57609299697e-21,4.96589194174e-05,7.57609299697e-21,4.96351218282e-05,0.,4.96589194174e-05,7.57609299697e-21
sequence-cps,0.000134009440456,0.,0.000134009440456,0.,0.000134014851672,0.,0.000134009440456,0.
setrip,2.91998838548e-05,0.,2.91998838548e-05,0.,2.92128595008e-05,0.,2.91998838548e-05,0.
setrip-smallbuf,2.94202503586e-05,0.,2.94202503586e-05,0.,2.94469109691e-05,0.,2.94202503586e-05,0.

top_heap_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,,,,,32768.,0.,,
bdd,,,,,573081.,0.,,
cpdf-merge,,,,,41250573.,nan,,
cpdf-reformat,,,,,30748513.,nan,,
cpdf-squeeze,,,,,39037390.,0.,,
cpdf-transform,,,,,15729863.,0.,,
jsontrip-sample,,,,,94607.,0.,,
kb,,,,,446464.,0.,,
kb-no-exc,,,,,507904.,nan,,
lexifi-g2pp,,,,,152547.,0.,,
menhir-fancy,,,,,357664.,0.,,
menhir-sql,,,,,48192139.,nan,,
menhir-standard,,,,,323978.,0.,,
minilight,,,,,1106522.,0.,,
numal-durand-kerner-aberth,,,,,49152.,0.,,
numal-fft,,,,,55197714.,0.,,
numal-k-means,,,,,564323.,0.,,
numal-levinson-durbin,,,,,18155498.,0.,,
numal-lu-decomposition,,,,,4680084.,0.,,
numal-naive-multilayer,,,,,74082.,0.,,
numal-qr-decomposition,,,,,1263179.,0.,,
numal-rnd_access,,,,,200032771.,0.,,
numal-simple_access,,,,,209263875.,0.,,
sequence,,,,,36864.,0.,,
sequence-cps,,,,,32768.,0.,,
setrip,,,,,65539.,0.,,
setrip-smallbuf,,,,,65539.,0.,,

minor_collections,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,44.,0.,44.,0.,1.,0.,44.,0.
bdd,292.,0.,292.,0.,291.,0.,292.,0.
cpdf-merge,759.,0.,759.,0.,714.,nan,759.,0.
cpdf-reformat,1712.,0.,1712.,0.,1694.,nan,1712.,0.
cpdf-squeeze,1541.,0.,1541.,0.,1476.,0.,1541.,0.
cpdf-transform,214.,0.,214.,0.,214.,0.,214.,0.
jsontrip-sample,27.,0.,27.,0.,17.,0.,27.,0.
kb,345.,0.,345.,0.,341.,0.,345.,0.
kb-no-exc,143.,0.,143.,0.,143.,nan,143.,0.
lexifi-g2pp,6403.,0.,6403.,0.,6023.,0.,6403.,0.
menhir-fancy,10.,0.,10.,0.,5.,0.,10.,0.
menhir-sql,3964.,0.,3964.,0.,3867.,nan,3964.,0.
menhir-standard,6.,0.,6.,0.,4.,0.,6.,0.
minilight,37181.,0.,37181.,0.,36867.,0.,37181.,0.
numal-durand-kerner-aberth,295.,0.,295.,0.,290.,0.,295.,0.
numal-fft,1376.,0.,1376.,0.,183.,0.,1376.,0.
numal-k-means,390.,0.,390.,0.,2.,0.,390.,0.
numal-levinson-durbin,3817.,0.,3817.,0.,3676.,0.,3817.,0.
numal-lu-decomposition,2097.,0.,2097.,0.,20.,0.,2097.,0.
numal-naive-multilayer,8280.,0.,8280.,0.,8253.,0.,8280.,0.
numal-qr-decomposition,6528.,0.,6528.,0.,6273.,0.,6528.,0.
numal-rnd_access,763.,0.,763.,0.,1.,0.,763.,0.
numal-simple_access,2442.,0.,2442.,0.,866.,0.,2442.,0.
sequence,2862.,0.,2862.,0.,2853.,0.,2862.,0.
sequence-cps,5726.,0.,5726.,0.,5725.,0.,5726.,0.
setrip,650.,0.,650.,0.,639.,0.,650.,0.
setrip-smallbuf,650.,0.,650.,0.,645.,0.,650.,0.

major_collections,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,3.,0.,3.,0.,1.,0.,3.,0.
bdd,10.,0.,10.,0.,5.,0.,10.,0.
cpdf-merge,58.,0.,58.,0.,30.,nan,58.,0.
cpdf-reformat,55.,0.,55.,0.,29.,nan,55.,0.
cpdf-squeeze,69.,0.,69.,0.,36.,0.,69.,0.
cpdf-transform,31.,0.,31.,0.,15.,0.,31.,0.
jsontrip-sample,2.,0.,2.,0.,2.,0.,2.,0.
kb,179.,0.,179.,0.,67.,0.,179.,0.
kb-no-exc,123.,0.,123.,0.,56.,nan,123.,0.
lexifi-g2pp,60.,0.,59.,0.,11.,0.,60.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.,1.,0.
menhir-sql,40.,0.,40.,0.,15.,nan,40.,0.
menhir-standard,1.,0.,1.,0.,1.,0.,1.,0.
minilight,190.,0.,190.,0.,38.,0.,190.,0.
numal-durand-kerner-aberth,47.,0.,54.,0.,47.,0.,47.,0.
numal-fft,118.,0.,118.,0.,10.,0.,118.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,2.,0.
numal-levinson-durbin,3815.,0.,3815.,0.,72.,0.,3815.,0.
numal-lu-decomposition,14.,0.,14.,0.,3.,0.,14.,0.
numal-naive-multilayer,710.,0.,710.,0.,129.,0.,710.,0.
numal-qr-decomposition,62.,0.,62.,0.,9.,0.,62.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,1.,0.
numal-simple_access,51.,0.,51.,0.,5.,0.,51.,0.
sequence,276.,0.,276.,0.,156.,0.,276.,0.
sequence-cps,1343.,0.,1343.,0.,961.,0.,1343.,0.
setrip,31.,0.,31.,0.,13.,0.,31.,0.
setrip-smallbuf,31.,0.,31.,0.,13.,0.,31.,0.

heap_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,,,,,32768.,0.,,
bdd,,,,,573081.,0.,,
cpdf-merge,,,,,37871373.,nan,,
cpdf-reformat,,,,,30609141.,nan,,
cpdf-squeeze,,,,,28036569.,0.,,
cpdf-transform,,,,,10593479.,0.,,
jsontrip-sample,,,,,94607.,0.,,
kb,,,,,225280.,0.,,
kb-no-exc,,,,,270336.,nan,,
lexifi-g2pp,,,,,152547.,0.,,
menhir-fancy,,,,,357664.,0.,,
menhir-sql,,,,,48192139.,nan,,
menhir-standard,,,,,323978.,0.,,
minilight,,,,,1094234.,0.,,
numal-durand-kerner-aberth,,,,,49152.,0.,,
numal-fft,,,,,50323465.,0.,,
numal-k-means,,,,,564323.,0.,,
numal-levinson-durbin,,,,,18155498.,0.,,
numal-lu-decomposition,,,,,4680084.,0.,,
numal-naive-multilayer,,,,,74082.,0.,,
numal-qr-decomposition,,,,,1263179.,0.,,
numal-rnd_access,,,,,200032771.,0.,,
numal-simple_access,,,,,209263875.,0.,,
sequence,,,,,36864.,0.,,
sequence-cps,,,,,32768.,0.,,
setrip,,,,,65539.,0.,,
setrip-smallbuf,,,,,65539.,0.,,

mean_space_overhead,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,,,,,0.,0.,,
bdd,,,,,29.485306,3.64500732561e-15,,
cpdf-squeeze,,,,,29.218629,0.,,
cpdf-transform,,,,,32.84631,0.,,
jsontrip-sample,,,,,334.791105,1.87997831436e-12,,
kb,,,,,66.924631,1.50728876034e-14,,
lexifi-g2pp,,,,,91.8504,0.,,
menhir-fancy,,,,,0.,0.,,
menhir-standard,,,,,0.,0.,,
minilight,,,,,52.208121,0.,,
numal-durand-kerner-aberth,,,,,656.331542,0.,,
numal-fft,,,,,38.656878,0.,,
numal-k-means,,,,,11.47746,5.38928791564e-15,,
numal-levinson-durbin,,,,,95.500088,0.,,
numal-lu-decomposition,,,,,26.466785,3.9720546452e-15,,
numal-naive-multilayer,,,,,197.103607,0.,,
numal-qr-decomposition,,,,,57.744404,0.,,
numal-rnd_access,,,,,0.,0.,,
numal-simple_access,,,,,4629.648832,0.,,
sequence,,,,,7392.682927,0.,,
sequence-cps,,,,,7837.636631,0.,,
setrip,,,,,624.297617,0.,,
setrip-smallbuf,,,,,623.105798,0.,,

