time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
numal-fft,4498689760.5,784930.246417,2373788607.25,39094402.4009,3797363174.33,20639664.2144,2575391245.5,32459270.8433,3741001925.,58359527.0789,2214957609.33,13133485.755
numal-k-means,228407483.833,690078.505535,89936575.9556,823050.625699,228899210.056,818291.636835,90095665.3778,942974.562189,222335261.556,1477165.40653,77321655.9808,881809.557434
numal-levinson-durbin,1601586590.67,5588898.14348,1483045279.33,5916186.00973,1608681702.67,677819.691433,1486337471.,6506657.11902,1601708141.,280914.943227,1410220459.33,107803.396581
numal-lu-decomposition,922798114.8,2410348.69135,858586575.2,6785578.17318,937621025.4,8650274.5175,855948957.6,2508711.6543,922823349.8,4057719.78531,766117613.,2936663.76997
numal-naive-multilayer,2769866181.,46780286.5776,2527551362.67,6167033.68816,2765582705.67,6654983.27101,2502021317.5,2383234.81663,2794461135.8,64389517.962,2366687729.5,939486.818222
numal-qr-decomposition,1307924565.25,573836.086586,1144356713.75,617723.881836,1308533735.5,927866.392669,1145198387.5,571468.147635,1309446869.75,2893065.2346,1173791466.75,365038.834754
numal-rnd_access,5480836577.5,1964606.38897,5355083570.5,1261948.72365,5513157773.5,4014565.51617,5369097842.,8461312.94703,6140685532.5,1516543.93443,4019318388.,3730643.05164
numal-simple_access,8500018200.,8135127.75305,2512704606.,6352214.50597,8063104165.33,31338731.5103,117882627700.,180586193.909,8072452788.67,57434131.276,2970947847.,2300868.89744
patdiff,,,,,,,,,,,219575850.211,5427050.97606
sauvola-contrast,,,,,,,,,,,1775397.,nan
sequence,836501328.8,570586.840557,894716148.8,1238471.72687,845464485.8,311838.884617,893881340.2,311905.143461,836152259.,459882.759544,846396736.2,4524730.29994
sequence-cps,1213432039.5,6841337.51275,1135349893.25,10423782.4752,1243004588.,7777660.15763,1136156042.,9707074.5435,1610694437.33,4980624.01613,873085384.2,20241066.7905
setrip,995862300.4,15953683.9771,982033227.8,12009929.3838,1004992520.,16861790.8059,981985113.,10918357.3984,1032820513.4,21235000.3937,891496804.2,11011369.3749
setrip-smallbuf,988373735.6,13636709.9056,981448116.6,13057054.1778,996360888.2,14587493.3738,977037585.2,10750312.4085,999401364.,5820144.63471,895154593.8,11194397.4679

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,869791.,0.,791414.,0.,879800.,0.,791536.,0.,869679.,0.,722441.,0.
bdd,903604.,0.,824035.,0.,914997.,0.,824157.,0.,903492.,0.,748542.,0.
cpdf-merge,5595511.,0.,5425326.,0.,5671736.,0.,5425448.,0.,5595399.,0.,4914923.,0.
cpdf-reformat,5595511.,0.,5425326.,0.,5671736.,0.,5425448.,0.,5595399.,0.,4914923.,0.
cpdf-squeeze,5595511.,0.,5425326.,0.,5671736.,0.,5425448.,0.,5595399.,0.,4914923.,0.
cpdf-transform,5595511.,0.,5425326.,0.,5671736.,0.,5425448.,0.,5595399.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,,,14161081.,0.
jsontrip-sample,1762650.,0.,1656337.,0.,1788627.,0.,1656459.,0.,1762538.,0.,1406209.,0.
kb,943565.,0.,863012.,0.,956886.,0.,863134.,0.,943453.,0.,787631.,0.
kb-no-exc,947604.,0.,867003.,0.,961109.,0.,867125.,0.,947492.,0.,791390.,0.
lexifi-g2pp,1085343.,0.,1001094.,0.,1100072.,0.,1001216.,0.,1085231.,0.,902335.,0.
menhir-fancy,4141194.,0.,3971145.,0.,4222339.,0.,3971331.,0.,4141082.,0.,3274517.,0.
menhir-sql,4141194.,0.,3971145.,0.,4222339.,0.,3971331.,0.,4141082.,0.,3274517.,0.
menhir-standard,4141194.,0.,3971145.,0.,4222339.,0.,3971331.,0.,4141082.,0.,3274517.,0.
minilight,1724039.,0.,1615278.,0.,1746360.,0.,1615400.,0.,1723927.,0.,1337342.,0.
numal-durand-kerner-aberth,1037652.,0.,952979.,0.,1052229.,0.,953101.,0.,1037540.,0.,844422.,0.
numal-fft,900000.,0.,820479.,0.,911177.,0.,820601.,0.,899888.,0.,746026.,0.
numal-k-means,14137870.,0.,13644749.,0.,14152447.,0.,13644871.,0.,14137758.,0.,8398720.,0.
numal-levinson-durbin,608429.,0.,538900.,0.,610710.,0.,539022.,0.,608317.,0.,503251.,0.
numal-lu-decomposition,1651320.,0.,1528663.,0.,1665817.,0.,1528785.,0.,1651208.,0.,1210786.,0.
numal-naive-multilayer,1316065.,0.,1224680.,0.,1332130.,0.,1224802.,0.,1315953.,0.,1074833.,0.
numal-qr-decomposition,1110794.,0.,1024857.,0.,1125331.,0.,1024979.,0.,1110682.,0.,918732.,0.
numal-rnd_access,588891.,0.,516746.,0.,593108.,0.,516868.,0.,588779.,0.,458023.,0.
numal-simple_access,492166.,0.,422829.,0.,494367.,0.,422951.,0.,492054.,0.,387684.,0.
patdiff,,,,,,,,,,,18398479.,0.
sauvola-contrast,,,,,,,,,,,1935177.,0.
sequence,1037569.,0.,953336.,0.,1053034.,0.,953458.,0.,1037457.,0.,859363.,0.
sequence-cps,845648.,0.,768215.,0.,855825.,0.,768337.,0.,845536.,0.,704194.,0.
setrip,1466236.,0.,1367939.,0.,1487901.,0.,1368061.,0.,1466124.,0.,1167971.,0.
setrip-smallbuf,1466236.,0.,1367939.,0.,1487901.,0.,1368061.,0.,1466124.,0.,1167971.,0.

code_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,619315.,0.,605458.,0.,624204.,0.,605548.,0.,619203.,0.,528085.,0.
bdd,652552.,0.,637503.,0.,658153.,0.,637593.,0.,652440.,0.,554346.,0.
cpdf-merge,3675159.,0.,3569494.,0.,3712984.,0.,3569584.,0.,3675047.,0.,3124099.,0.
cpdf-reformat,3675159.,0.,3569494.,0.,3712984.,0.,3569584.,0.,3675047.,0.,3124099.,0.
cpdf-squeeze,3675159.,0.,3569494.,0.,3712984.,0.,3569584.,0.,3675047.,0.,3124099.,0.
cpdf-transform,3675159.,0.,3569494.,0.,3712984.,0.,3569584.,0.,3675047.,0.,3124099.,0.
frama-c-deflate,,,,,,,,,,,10199177.,0.
frama-c-idct,,,,,,,,,,,10199177.,0.
jsontrip-sample,1329162.,0.,1287369.,0.,1342019.,0.,1287459.,0.,1329050.,0.,1061489.,0.
kb,683105.,0.,667072.,0.,689610.,0.,667162.,0.,682993.,0.,583483.,0.
kb-no-exc,686408.,0.,670327.,0.,693001.,0.,670417.,0.,686296.,0.,586538.,0.
lexifi-g2pp,787507.,0.,767778.,0.,794780.,0.,767868.,0.,787395.,0.,664427.,0.
menhir-fancy,3042994.,0.,2937497.,0.,3083467.,0.,2937619.,0.,3042882.,0.,2371205.,0.
menhir-sql,3042994.,0.,2937497.,0.,3083467.,0.,2937619.,0.,3042882.,0.,2371205.,0.
menhir-standard,3042994.,0.,2937497.,0.,3083467.,0.,2937619.,0.,3042882.,0.,2371205.,0.
minilight,1304983.,0.,1260742.,0.,1316072.,0.,1260832.,0.,1304871.,0.,1014158.,0.
numal-durand-kerner-aberth,763464.,0.,743311.,0.,770617.,0.,743401.,0.,763352.,0.,634322.,0.
numal-fft,650548.,0.,635547.,0.,656029.,0.,635637.,0.,650436.,0.,553238.,0.
numal-k-means,11433954.,0.,11005353.,0.,11441139.,0.,11005443.,0.,11433842.,0.,7160108.,0.
numal-levinson-durbin,337345.,0.,332336.,0.,338666.,0.,332426.,0.,337233.,0.,283743.,0.
numal-lu-decomposition,1202956.,0.,1144819.,0.,1210061.,0.,1144909.,0.,1202844.,0.,891886.,0.
numal-naive-multilayer,900429.,0.,873564.,0.,908398.,0.,873654.,0.,900317.,0.,733333.,0.
numal-qr-decomposition,780126.,0.,758709.,0.,787303.,0.,758799.,0.,780014.,0.,651928.,0.
numal-rnd_access,412431.,0.,404806.,0.,414760.,0.,404896.,0.,412319.,0.,336339.,0.
numal-simple_access,335002.,0.,330185.,0.,336275.,0.,330275.,0.,334890.,0.,281968.,0.
patdiff,,,,,,,,,,,14145607.,0.
sauvola-contrast,,,,,,,,,,,1451769.,0.
sequence,761845.,0.,742132.,0.,769406.,0.,742222.,0.,761733.,0.,643119.,0.
sequence-cps,606084.,0.,593171.,0.,611045.,0.,593261.,0.,605972.,0.,519374.,0.
setrip,1101420.,0.,1067643.,0.,1112237.,0.,1067733.,0.,1101308.,0.,882227.,0.
setrip-smallbuf,1101420.,0.,1067643.,0.,1112237.,0.,1067733.,0.,1101308.,0.,882227.,0.

data_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,250476.,0.,185956.,0.,255596.,0.,185988.,0.,250476.,0.,194356.,0.
bdd,251052.,0.,186532.,0.,256844.,0.,186564.,0.,251052.,0.,194196.,0.
cpdf-merge,1920352.,0.,1855832.,0.,1958752.,0.,1855864.,0.,1920352.,0.,1790824.,0.
cpdf-reformat,1920352.,0.,1855832.,0.,1958752.,0.,1855864.,0.,1920352.,0.,1790824.,0.
cpdf-squeeze,1920352.,0.,1855832.,0.,1958752.,0.,1855864.,0.,1920352.,0.,1790824.,0.
cpdf-transform,1920352.,0.,1855832.,0.,1958752.,0.,1855864.,0.,1920352.,0.,1790824.,0.
frama-c-deflate,,,,,,,,,,,3961904.,0.
frama-c-idct,,,,,,,,,,,3961904.,0.
jsontrip-sample,433488.,0.,368968.,0.,446608.,0.,369000.,0.,433488.,0.,344720.,0.
kb,260460.,0.,195940.,0.,267276.,0.,195972.,0.,260460.,0.,204148.,0.
kb-no-exc,261196.,0.,196676.,0.,268108.,0.,196708.,0.,261196.,0.,204852.,0.
lexifi-g2pp,297836.,0.,233316.,0.,305292.,0.,233348.,0.,297836.,0.,237908.,0.
menhir-fancy,1098200.,0.,1033648.,0.,1138872.,0.,1033712.,0.,1098200.,0.,903312.,0.
menhir-sql,1098200.,0.,1033648.,0.,1138872.,0.,1033712.,0.,1098200.,0.,903312.,0.
menhir-standard,1098200.,0.,1033648.,0.,1138872.,0.,1033712.,0.,1098200.,0.,903312.,0.
minilight,419056.,0.,354536.,0.,430288.,0.,354568.,0.,419056.,0.,323184.,0.
numal-durand-kerner-aberth,274188.,0.,209668.,0.,281612.,0.,209700.,0.,274188.,0.,210100.,0.
numal-fft,249452.,0.,184932.,0.,255148.,0.,184964.,0.,249452.,0.,192788.,0.
numal-k-means,2703916.,0.,2639396.,0.,2711308.,0.,2639428.,0.,2703916.,0.,1238612.,0.
numal-levinson-durbin,271084.,0.,206564.,0.,272044.,0.,206596.,0.,271084.,0.,219508.,0.
numal-lu-decomposition,448364.,0.,383844.,0.,455756.,0.,383876.,0.,448364.,0.,318900.,0.
numal-naive-multilayer,415636.,0.,351116.,0.,423732.,0.,351148.,0.,415636.,0.,341500.,0.
numal-qr-decomposition,330668.,0.,266148.,0.,338028.,0.,266180.,0.,330668.,0.,266804.,0.
numal-rnd_access,176460.,0.,111940.,0.,178348.,0.,111972.,0.,176460.,0.,121684.,0.
numal-simple_access,157164.,0.,92644.,0.,158092.,0.,92676.,0.,157164.,0.,105716.,0.
patdiff,,,,,,,,,,,4252872.,0.
sauvola-contrast,,,,,,,,,,,483408.,0.
sequence,275724.,0.,211204.,0.,283628.,0.,211236.,0.,275724.,0.,216244.,0.
sequence-cps,239564.,0.,175044.,0.,244780.,0.,175076.,0.,239564.,0.,184820.,0.
setrip,364816.,0.,300296.,0.,375664.,0.,300328.,0.,364816.,0.,285744.,0.
setrip-smallbuf,364816.,0.,300296.,0.,375664.,0.,300328.,0.,364816.,0.,285744.,0.

minor_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,12771504.,0.,1499296.,0.,12771504.,0.,1499312.,0.,12771504.,0.,11689154.,0.
bdd,78354228.,0.,78092088.,0.,78354228.,0.,78354228.,0.,78354228.,0.,76776856.,0.
cpdf-merge,197558412.,0.,182077657.,nan,197558831.,0.,197558772.,nan,197558790.,0.,197535883.,0.
cpdf-reformat,449515968.,0.,442438042.,nan,449515991.,0.,443486677.,nan,449515968.,0.,448744421.,0.
cpdf-squeeze,403656418.,0.,396486390.,0.,403656441.,0.,395700031.,0.,403656418.,0.,403639819.,0.
cpdf-transform,55783345.,0.,55259047.,0.,55783365.,0.,55783336.,0.,55783345.,0.,55760053.,0.
frama-c-deflate,,,,,,,,,,,2473278679.,0.
frama-c-idct,,,,,,,,,,,23799679.,nan
jsontrip-sample,7738822.,0.,5379543.,0.,7738822.,0.,5379537.,0.,7738822.,0.,7160780.,0.
kb,91531263.,0.,90744306.,0.,91531263.,0.,91531263.,0.,91531263.,0.,90578323.,0.
kb-no-exc,37609474.,0.,37347329.,nan,37609474.,0.,37609474.,nan,37609474.,0.,37503337.,0.
lexifi-g2pp,1679022385.,0.,1664604581.,0.,1679022387.,0.,1586223959.,0.,1679022385.,0.,1678613459.,0.
menhir-fancy,2670366.,0.,1359641.,0.,2670369.,0.,1359670.,0.,2670366.,0.,2238235.,0.
menhir-sql,1033056840.,0.,1005055021.,nan,1033056843.,0.,1018639079.,nan,1033056840.,0.,1032167255.,0.
menhir-standard,3109557.,0.,2585248.,0.,3109559.,0.,2585276.,0.,3109557.,0.,1432097.,0.
minilight,9747578753.,0.,9653994739.,0.,9747578753.,0.,9650586919.,0.,9747578753.,0.,9747431685.,0.
numal-durand-kerner-aberth,77977828.,0.,77191398.,0.,77977830.,0.,75618544.,0.,77977828.,0.,77414786.,0.
numal-fft,265590810.,0.,256386827.,0.,265590812.,0.,274390357.,0.,265590810.,0.,264242358.,0.
numal-k-means,104274928.,0.,2563546.,0.,104274928.,0.,2563666.,0.,104274928.,0.,102494197.,0.
numal-levinson-durbin,1001931677.,0.,1001931673.,0.,1001931677.,0.,1001931677.,0.,1001931677.,0.,1000784001.,0.
numal-lu-decomposition,543585142.,0.,2323177.,0.,543585142.,0.,489583505.,0.,543585142.,0.,542217436.,0.
numal-naive-multilayer,2171024504.,0.,2169451640.,0.,2171024504.,0.,2164208769.,0.,2171024504.,0.,2170639423.,0.
numal-qr-decomposition,1712409570.,0.,1664961502.,0.,1712409570.,0.,1690651618.,0.,1712409570.,0.,1711440705.,0.
numal-rnd_access,201575922.,29540.0928908,1901168.,7953.53707479,201713898.,48694.2013796,1900010.,66779.4286888,201626746.,165270.653753,199991298.,15810.9076273
numal-simple_access,640771165.,0.,207971917.,0.,640771165.,0.,240739419.,0.,640771165.,0.,640006201.,0.
patdiff,,,,,,,,,,,36596878.,0.
sequence,752030057.,0.,751505769.,0.,752030057.,0.,748622198.,0.,752030057.,0.,750492812.,0.
sequence-cps,1502506087.,0.,1501719665.,0.,1502506087.,0.,1501981807.,0.,1502506087.,0.,1501299851.,0.
setrip,172397946.,0.,168203678.,0.,172397946.,0.,166368684.,0.,172397946.,0.,170650322.,0.
setrip-smallbuf,172398261.,0.,168203713.,0.,172398261.,0.,166106857.,0.,172398261.,0.,170650267.,0.

major_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1065.,0.,975.,0.,1065.,0.,979.,0.,1065.,0.,939.,0.
bdd,617964.,0.,583194.,0.,617964.,0.,617964.,0.,617964.,0.,664841.,0.
cpdf-merge,95256868.,0.,88005934.,nan,95161531.,0.,95161565.,nan,95161553.,0.,95303277.,0.
cpdf-reformat,75782385.,0.,72781274.,nan,75782373.,0.,73960856.,nan,75782385.,0.,75793761.,0.
cpdf-squeeze,138963878.,0.,135732461.,0.,138963858.,0.,135490782.,0.,138963878.,0.,138739074.,0.
cpdf-transform,28027018.,0.,27404613.,0.,28027020.,0.,28027018.,0.,28027018.,0.,27953626.,0.
frama-c-deflate,,,,,,,,,,,186982547.,25.1197133742
frama-c-idct,,,,,,,,,,,2650597.,nan
jsontrip-sample,29490.,0.,26923.,0.,29490.,0.,26943.,0.,29490.,0.,29376.,0.
kb,4878177.,0.,4836364.,0.,4878177.,0.,4878177.,0.,4878177.,0.,4873136.,0.
kb-no-exc,4644391.,0.,4618698.,nan,4644391.,0.,4644391.,nan,4644391.,0.,4699054.,0.
lexifi-g2pp,280758.,0.,277213.,0.,280760.,0.,266822.,0.,280758.,0.,278186.,0.
menhir-fancy,327888.,0.,272089.,0.,327891.,0.,272102.,0.,327888.,0.,328749.,0.
menhir-sql,56262857.,0.,50751596.,nan,56262863.,0.,55765281.,nan,56262857.,0.,56163401.,0.
menhir-standard,270152.,0.,242326.,0.,270154.,0.,242338.,0.,270152.,0.,274012.,0.
minilight,10645660.,0.,10547447.,0.,10645660.,0.,10544346.,0.,10645660.,0.,10641824.,0.
numal-durand-kerner-aberth,231819.,0.,229455.,0.,231811.,0.,224737.,0.,231819.,0.,227630.,0.
numal-fft,140413009.,0.,130782695.,0.,140413011.,0.,139784461.,0.,140413009.,0.,140272143.,0.
numal-k-means,535719.,0.,526355.,0.,535719.,0.,526364.,0.,535719.,0.,536219.,0.
numal-levinson-durbin,250058479.,0.,250058475.,0.,250058479.,0.,250058479.,0.,250058479.,0.,250064165.,0.
numal-lu-decomposition,7775992.,0.,6984362.,0.,7775992.,0.,7766928.,0.,7775992.,0.,7775111.,0.
numal-naive-multilayer,1260760.,0.,1259751.,0.,1260760.,0.,1256730.,0.,1260760.,0.,1282790.,0.
numal-qr-decomposition,2682763.,0.,2646191.,0.,2682763.,0.,2665999.,0.,2682763.,0.,2693569.,0.
numal-rnd_access,200000221.,0.,200000215.,0.,200000221.,0.,200000217.,0.,200000221.,0.,200000139.,0.
numal-simple_access,220001977.,0.,192577233.,0.,220001977.,0.,219883735.,0.,220001977.,0.,220001887.,0.
patdiff,,,,,,,,,,,9210069.,0.
sequence,37423.,0.,37391.,0.,37423.,0.,37228.,0.,37423.,0.,38258.,0.
sequence-cps,201428.,0.,201326.,0.,201428.,0.,201357.,0.,201428.,0.,222795.,0.
setrip,13313.,0.,13191.,0.,13313.,0.,13141.,0.,13313.,0.,13269.,0.
setrip-smallbuf,13351.,0.,13191.,0.,13351.,0.,13175.,0.,13351.,0.,13241.,0.

promoted_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,7.72814227674e-05,0.,0.000598280793119,0.,7.72814227674e-05,0.,0.000600942298868,0.,7.72814227674e-05,0.,8.03308776666e-05,0.
bdd,0.00611328848776,8.91129473883e-19,0.0056885660427,0.,0.00611328848776,8.91129473883e-19,0.00611328848776,8.89894366603e-19,0.00611328848776,8.91129473883e-19,0.00685046285302,2.66634390763e-18
cpdf-merge,0.42291969324,0.,0.444838693196,nan,0.422395666028,6.79869977755e-17,0.422395964275,nan,0.422395865049,0.,0.423203322507,0.
cpdf-reformat,0.145029088266,0.,0.140862328922,nan,0.14502905415,0.,0.142893496663,nan,0.145029088266,0.,0.145303994765,0.
cpdf-squeeze,0.305440848955,0.,0.305221256145,0.,0.305440782004,0.,0.305798146374,0.,0.305440848955,0.,0.304896690581,0.
cpdf-transform,0.467827789818,0.,0.46810883293,0.,0.467827657941,0.,0.467827865297,0.,0.467827789818,0.,0.466708613064,0.
frama-c-deflate,,,,,,,,,,,0.0490770381157,1.01564427788e-08
frama-c-idct,,,,,,,,,,,0.0946756466757,nan
jsontrip-sample,0.00168190972735,5.43396431187e-18,0.0019423583007,8.69287071629e-18,0.00168190972735,5.43408931536e-18,0.00194607825915,9.56206418031e-18,0.00168190972735,4.78336539763e-18,0.0018137688911,7.16878035532e-18
kb,0.0532943481835,7.41798960903e-18,0.0532957516916,0.,0.0532943481835,7.41798960903e-18,0.0532943481835,7.35980840008e-18,0.0532943481835,7.41798960903e-18,0.0538002453413,7.31423639287e-18
kb-no-exc,0.123487847769,1.45551466459e-17,0.123666675065,nan,0.123487847769,1.44948766286e-17,0.123487847769,nan,0.123487847769,1.44948766286e-17,0.125296956908,0.
lexifi-g2pp,0.00016716870633,0.,0.000166486986257,0.,0.0001671698973,2.96920993383e-20,0.000168162886764,0.,0.00016716870633,0.,0.000165723680165,3.31967762576e-20
menhir-fancy,0.0732457648128,3.06030558521e-16,0.103570721977,3.19802355725e-16,0.0732468059658,3.19951818683e-16,0.103578074092,3.05902448166e-16,0.0732457648128,2.92136641594e-16,0.0802002470697,4.72458767229e-16
menhir-sql,0.0447931267751,0.,0.0427537558663,nan,0.044793132453,0.,0.0451801005369,nan,0.0447931267751,8.49837472194e-18,0.0447321243494,0.
menhir-standard,0.0427096206952,1.25126153967e-16,0.0410045767369,3.75233652249e-16,0.0427102364033,6.25664479298e-17,0.0410087743049,1.73719988477e-16,0.0427096206952,1.25134644637e-16,0.08758065969,6.94564052087e-16
minilight,0.0010904098617,0.,0.00109080678876,0.,0.0010904098617,0.,0.00109087064739,0.,0.0010904098617,0.,0.00109004159694,0.
numal-durand-kerner-aberth,0.0029718832384,3.50695557665e-18,0.0029715357662,1.75270036519e-18,0.00297178056891,2.19236534137e-18,0.00297095114659,1.3145252739e-18,0.0029718832384,3.50778454619e-18,0.00294039435826,4.37912002057e-19
numal-fft,0.508940972016,0.,0.489649692494,0.,0.508940975714,0.,0.490328809186,0.,0.508940972016,0.,0.511005343814,0.
numal-k-means,0.0034566698526,8.92507865231e-19,0.136950926568,5.61384157879e-17,0.0034566698526,8.92507865231e-19,0.136948026771,5.61384157879e-17,0.0034566698526,8.92507865231e-19,0.00352236527108,2.18956001029e-18
numal-levinson-durbin,3.49145563545e-05,0.,3.49105642057e-05,0.,3.49145563545e-05,0.,3.49145563545e-05,0.,3.49145563545e-05,0.,4.07140801205e-05,0.
numal-lu-decomposition,0.000549014270151,0.,0.0674868940249,0.,0.000549014270151,0.,0.00059105749488,0.,0.000549014270151,0.,0.000548918165,0.
numal-naive-multilayer,0.000580523157467,0.,0.000580478945362,0.,0.000580523157467,0.,0.000580489284581,0.,0.000580523157467,0.,0.000590811162099,0.
numal-qr-decomposition,0.00156661411323,0.,0.00158929380458,0.,0.00156661411323,0.,0.00157686005302,0.,0.00156661411323,0.,0.00157386054459,0.
numal-rnd_access,7.04449222486e-07,1.03234033424e-10,7.15355981819e-05,2.99269203094e-07,7.03967379271e-07,1.69939353068e-10,7.26899794421e-05,2.50882615627e-06,7.04271881191e-07,5.77281915884e-10,6.90030025363e-07,5.45523785295e-11
numal-simple_access,0.312126869816,0.,0.829809892073,1.35973995551e-16,0.312126869816,0.,0.830290514243,1.35973995551e-16,0.312126869816,0.,0.312499919044,0.
patdiff,,,,,,,,,,,0.186792682152,8.55484294927e-17
sequence,4.96589194174e-05,7.57609299697e-21,4.96509827857e-05,0.,4.96589194174e-05,7.57609299697e-21,4.96244969749e-05,0.,4.96589194174e-05,7.57609299697e-21,5.09771704516e-05,7.57609299697e-21
sequence-cps,0.000134009440456,0.,0.000134011696517,0.,0.000134009440456,0.,0.000134008946754,0.,0.000134009440456,0.,0.000148401400194,0.
setrip,2.91998838548e-05,0.,2.92026907997e-05,0.,2.91998838548e-05,0.,2.92242499195e-05,0.,2.91998838548e-05,0.,2.97450361682e-05,0.
setrip-smallbuf,2.94202503586e-05,0.,2.92026847231e-05,0.,2.94202503586e-05,0.,2.94750023474e-05,0.,2.94202503586e-05,0.,2.95809674883e-05,0.

top_heap_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,,,36864.,0.,,,32768.,0.,,,491520.,0.
bdd,,,523929.,0.,,,544406.,0.,,,650240.,0.
cpdf-merge,,,37717860.,nan,,,30767519.,nan,,,43174400.,0.
cpdf-reformat,,,26626331.,nan,,,19851928.,nan,,,28387328.,0.
cpdf-squeeze,,,37732858.,0.,,,29035074.,0.,,,37542912.,0.
cpdf-transform,,,14171928.,0.,,,12806325.,0.,,,14480384.,0.
frama-c-deflate,,,,,,,,,,,88571904.,0.
frama-c-idct,,,,,,,,,,,4685824.,nan
