time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
lexifi-g2pp,768420.,0.,768420.,0.,664427.,0.
menhir-fancy,2938139.,0.,2938139.,0.,2371205.,0.
menhir-sql,2938139.,0.,2938139.,0.,2371205.,0.
menhir-standard,2938139.,0.,2938139.,0.,2371205.,0.
minilight,1261384.,0.,1261384.,0.,1014158.,0.
numal-durand-kerner-aberth,743953.,0.,743953.,0.,634322.,0.
numal-fft,636189.,0.,636189.,0.,553238.,0.
numal-k-means,11005995.,0.,11005995.,0.,7160108.,0.
numal-levinson-durbin,332978.,0.,332978.,0.,283743.,0.
numal-lu-decomposition,1145461.,0.,1145461.,0.,891886.,0.
numal-naive-multilayer,874206.,0.,874206.,0.,733333.,0.
numal-qr-decomposition,759351.,0.,759351.,0.,651928.,0.
numal-rnd_access,405448.,0.,405448.,0.,336339.,0.
numal-simple_access,330827.,0.,330827.,0.,281968.,0.
patdiff,,,,,14145607.,0.
sauvola-contrast,,,,,1451769.,0.
sequence,742774.,0.,742774.,0.,643119.,0.
sequence-cps,593781.,0.,593781.,0.,519374.,0.
setrip,1068285.,0.,1068285.,0.,882227.,0.
setrip-smallbuf,1068285.,0.,1068285.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,185956.,0.,185956.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1790824.,0.
frama-c-deflate,,,,,3961904.,0.
frama-c-idct,,,,,3961904.,0.
jsontrip-sample,368968.,0.,368968.,0.,344720.,0.
kb,195940.,0.,195940.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,237908.,0.
menhir-fancy,1033648.,0.,1033680.,0.,903312.,0.
menhir-sql,1033648.,0.,1033680.,0.,903312.,0.
menhir-standard,1033648.,0.,1033680.,0.,903312.,0.
minilight,354536.,0.,354536.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,105716.,0.
patdiff,,,,,4252872.,0.
sauvola-contrast,,,,,483408.,0.
sequence,211204.,0.,211204.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499312.,0.,11689154.,0.
bdd,78092088.,0.,78092090.,0.,76776856.,0.
cpdf-merge,191149171.,nan,186168648.,nan,197535883.,0.
cpdf-reformat,444797318.,nan,444797388.,nan,448744421.,0.
cpdf-squeeze,386787388.,0.,386787458.,0.,403639819.,0.
cpdf-transform,55783231.,0.,55783336.,0.,55760053.,0.
frama-c-deflate,,,,,2473407345.33,2.30940107676
frama-c-idct,,,,,23799679.,nan
jsontrip-sample,5117399.,0.,5117393.,0.,7160780.,0.
kb,90482164.,0.,90482693.,0.,90578323.,0.
kb-no-exc,37609470.,nan,37609474.,nan,37503337.,0.
lexifi-g2pp,1583340397.,0.,1579408257.,0.,1678613459.,0.
menhir-fancy,1359641.,0.,1359670.,0.,2238235.,0.
menhir-sql,1007629231.,nan,1007629239.,nan,1032167255.,0.
menhir-standard,2585248.,0.,2585276.,0.,1432097.,0.
minilight,9664218203.,0.,9665266779.,0.,9747431685.,0.
numal-durand-kerner-aberth,76667112.,0.,76667114.,0.,77414786.,0.
numal-fft,274390355.,0.,274390357.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,1000784001.,0.
numal-lu-decomposition,2318857.,0.,2318861.,0.,542217436.,0.
numal-naive-multilayer,2163946621.,0.,2163946625.,0.,2170639423.,0.
numal-qr-decomposition,1645825049.,0.,1645562910.,0.,1711440705.,0.
numal-rnd_access,1949976.,78992.3127399,1293732.66667,1097406.77277,200005818.,11268.873768
numal-simple_access,227632417.,0.,227632419.,0.,640006201.,0.
patdiff,,,,,36596878.,0.
sequence,749670768.,0.,749670770.,0.,750492812.,0.
sequence-cps,1502243945.,0.,1502243949.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,170650322.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,979.,0.,939.,0.
bdd,583194.,0.,583196.,0.,664841.,0.
cpdf-merge,91785981.,nan,90412572.,nan,95303277.,0.
cpdf-reformat,75226891.,nan,75226835.,nan,75793761.,0.
cpdf-squeeze,132492452.,0.,132492420.,0.,138739074.,0.
cpdf-transform,28027014.,0.,28027018.,0.,27953626.,0.
frama-c-deflate,,,,,186975297.,10.5830052443
frama-c-idct,,,,,2650656.,nan
jsontrip-sample,26463.,0.,26478.,0.,29376.,0.
kb,4817857.,0.,4817598.,0.,4873136.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4699054.,0.
lexifi-g2pp,266462.,0.,265899.,0.,278186.,0.
menhir-fancy,272089.,0.,272102.,0.,328749.,0.
menhir-sql,55248639.,nan,55248631.,nan,56163401.,0.
menhir-standard,242326.,0.,242338.,0.,274012.,0.
minilight,10556471.,0.,10557519.,0.,10641824.,0.
numal-durand-kerner-aberth,227974.,0.,227979.,0.,227630.,0.
numal-fft,139784459.,0.,139784461.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,250064165.,0.
numal-lu-decomposition,4624733.,0.,4624732.,0.,7775111.,0.
numal-naive-multilayer,1256512.,0.,1256522.,0.,1282790.,0.
numal-qr-decomposition,2594693.,0.,2594502.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000217.,0.,200000139.,0.
numal-simple_access,208961133.,0.,208961135.,0.,220001887.,0.
patdiff,,,,,9210069.,0.
sequence,37286.,0.,37288.,0.,38258.,0.
sequence-cps,201397.,0.,201401.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13269.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,897.,0.,901.,0.,939.,0.
bdd,444232.,0.,444234.,0.,525957.,0.
cpdf-merge,81093930.,nan,81048705.,nan,83597842.,0.
cpdf-reformat,64637397.,nan,64637341.,nan,65204357.,0.
cpdf-squeeze,120753140.,0.,120753108.,0.,123068445.,0.
cpdf-transform,26096995.,0.,26096999.,0.,26023697.,0.
frama-c-deflate,,,,,121372237.,10.5830052443
frama-c-idct,,,,,2253309.,nan
jsontrip-sample,9989.,0.,10004.,0.,12988.,0.
kb,4817779.,0.,4817520.,0.,4873136.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4699054.,0.
lexifi-g2pp,266384.,0.,265821.,0.,278186.,0.
menhir-fancy,140819.,0.,140832.,0.,179507.,0.
menhir-sql,45544087.,nan,45544079.,nan,46171034.,0.
menhir-standard,106007.,0.,106019.,0.,125424.,0.
minilight,10539667.,0.,10540715.,0.,10625106.,0.
numal-durand-kerner-aberth,227896.,0.,227901.,0.,227630.,0.
numal-fft,134541495.,0.,134541497.,0.,135029257.,0.
numal-k-means,351080.,0.,351089.,0.,361022.,0.
numal-levinson-durbin,33716.,0.,33720.,0.,40746.,0.
numal-lu-decomposition,156739.,0.,156738.,0.,297633.,0.
numal-naive-multilayer,1256082.,0.,1256092.,0.,1282438.,0.
numal-qr-decomposition,2594615.,0.,2594424.,0.,2693569.,0.
numal-rnd_access,136.,0.,138.,0.,138.,0.
numal-simple_access,188961054.,0.,188961056.,0.,200001886.,0.
patdiff,,,,,6836029.,0.
sequence,37208.,0.,37210.,0.,38258.,0.
sequence-cps,201319.,0.,201323.,0.,222795.,0.
setrip,4912.,0.,4952.,0.,5076.,0.
setrip-smallbuf,4980.,0.,5038.,0.,5048.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,650240.,0.
cpdf-merge,43087817.,nan,41250573.,nan,43174400.,0.
cpdf-reformat,30748513.,nan,30748513.,nan,28387328.,0.
cpdf-squeeze,39039677.,0.,39037390.,0.,37542912.,0.
cpdf-transform,15729863.,0.,15729863.,0.,14480384.,0.
frama-c-deflate,,,,,88571904.,0.
frama-c-idct,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,491520.,0.
kb,442368.,0.,446464.,0.,565248.,0.
kb-no-exc,507904.,nan,507904.,nan,646656.,0.
lexifi-g2pp,156643.,0.,152547.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-sql,48966283.,nan,48192139.,nan,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.
minilight,1106522.,0.,1106522.,0.,748032.,0.
numal-durand-kerner-aberth,49152.,0.,49152.,0.,565248.,0.
numal-fft,55193618.,0.,55197714.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,565248.,0.
numal-lu-decomposition,4680084.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,74082.,0.,565248.,0.
numal-qr-decomposition,1263373.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3861504.,0.
sequence,32768.,0.,36864.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,44.,0.
bdd,291.,0.,291.,0.,295.,0.
cpdf-merge,733.,nan,714.,nan,772.,0.
cpdf-reformat,1694.,nan,1694.,nan,1725.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1560.,0.
cpdf-transform,214.,0.,214.,0.,220.,0.
frama-c-deflate,,,,,9451.,0.
frama-c-idct,,,,,93.,nan
jsontrip-sample,17.,0.,17.,0.,28.,0.
kb,341.,0.,341.,0.,385.,0.
kb-no-exc,143.,nan,143.,nan,168.,0.
lexifi-g2pp,6038.,0.,6023.,0.,6409.,0.
menhir-fancy,5.,0.,5.,0.,9.,0.
menhir-sql,3867.,nan,3867.,nan,3967.,0.
menhir-standard,4.,0.,4.,0.,5.,0.
minilight,36863.,0.,36867.,0.,37211.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,338.,0.
numal-fft,183.,0.,183.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,4885.,0.
numal-lu-decomposition,20.,0.,20.,0.,2097.,0.
numal-naive-multilayer,8253.,0.,8253.,0.,8352.,0.
numal-qr-decomposition,6274.,0.,6273.,0.,6552.,0.
numal-rnd_access,1.,0.,1.,0.,763.,0.
numal-simple_access,866.,0.,866.,0.,2446.,0.
patdiff,,,,,151.,0.
sequence,2853.,0.,2853.,0.,2931.,0.
sequence-cps,5725.,0.,5725.,0.,6176.,0.
setrip,634.,0.,639.,0.,656.,0.
setrip-smallbuf,643.,0.,645.,0.,655.,0.

major_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,0.,0.
bdd,5.,0.,5.,0.,5.,0.
cpdf-merge,30.,nan,30.,nan,24.,0.
cpdf-reformat,29.,nan,29.,nan,24.,0.
cpdf-squeeze,36.,0.,36.,0.,32.,0.
cpdf-transform,15.,0.,15.,0.,13.,0.
frama-c-deflate,,,,,24.,0.
frama-c-idct,,,,,5.,nan
jsontrip-sample,2.,0.,2.,0.,2.,0.
kb,65.,0.,67.,0.,63.,0.
kb-no-exc,57.,nan,56.,nan,40.,0.
lexifi-g2pp,11.,0.,11.,0.,11.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.
menhir-sql,15.,nan,15.,nan,17.,0.
menhir-standard,1.,0.,1.,0.,1.,0.
minilight,38.,0.,38.,0.,56.,0.
numal-durand-kerner-aberth,47.,0.,47.,0.,85.,0.
numal-fft,10.,0.,10.,0.,3.,0.
numal-k-means,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,72.,0.,72.,0.,1755.,0.
numal-lu-decomposition,3.,0.,3.,0.,5.,0.
numal-naive-multilayer,129.,0.,129.,0.,143.,0.
numal-qr-decomposition,9.,0.,9.,0.,40.,0.
numal-rnd_access,1.,0.,1.,0.,0.,0.
numal-simple_access,5.,0.,5.,0.,8.,0.
patdiff,,,,,10.,0.
sequence,165.,0.,156.,0.,136.,0.
sequence-cps,961.,0.,961.,0.,898.,0.
setrip,13.,0.,13.,0.,10.,0.
setrip-smallbuf,13.,0.,13.,0.,9.,0.

compactions,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,,,,,0.,0.
bdd,,,,,0.,0.
cpdf-merge,,,,,0.,0.
cpdf-reformat,,,,,0.,0.
cpdf-squeeze,,,,,0.,0.
cpdf-transform,,,,,0.,0.
frama-c-deflate,,,,,0.,0.
frama-c-idct,,,,,0.,nan
jsontrip-sample,,,,,0.,0.
kb,,,,,3.,0.
kb-no-exc,,,,,3.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,0.,0.
menhir-sql,,,,,0.,0.
menhir-standard,,,,,0.,0.
minilight,,,,,0.,0.
numal-durand-kerner-aberth,,,,,2.,0.
numal-fft,,,,,0.,0.
numal-k-means,,,,,0.,0.
numal-levinson-durbin,,,,,382.,0.
numal-lu-decomposition,,,,,0.,0.
numal-naive-multilayer,,,,,2.,0.
numal-qr-decomposition,,,,,0.,0.
numal-rnd_access,,,,,0.,0.
numal-simple_access,,,,,0.,0.
patdiff,,,,,1.,0.
sequence,,,,,2.,0.
sequence-cps,,,,,2.,0.
setrip,,,,,2.,0.
setrip-smallbuf,,,,,2.,0.

heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,650240.,0.
cpdf-merge,39245769.,nan,37871373.,nan,43174400.,0.
cpdf-reformat,30609141.,nan,30609141.,nan,28387328.,0.
cpdf-squeeze,28044761.,0.,28036569.,0.,37542912.,0.
cpdf-transform,10593479.,0.,10593479.,0.,14480384.,0.
frama-c-deflate,,,,,88571904.,0.
frama-c-idct,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,491520.,0.
kb,212992.,0.,225280.,0.,430080.,0.
kb-no-exc,270336.,nan,270336.,nan,494592.,0.
lexifi-g2pp,156643.,0.,152547.,0.,163328.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-sql,48966283.,nan,48192139.,nan,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.
minilight,1094234.,0.,1094234.,0.,748032.,0.
numal-durand-kerner-aberth,49152.,0.,49152.,0.,73728.,0.
numal-fft,50319369.,0.,50323465.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,122880.,0.
numal-lu-decomposition,4680084.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,74082.,0.,73728.,0.
numal-qr-decomposition,1263373.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3824640.,0.
sequence,32768.,0.,36864.,0.,73728.,0.
sequence-cps,32768.,0.,32768.,0.,73728.,0.
setrip,65539.,0.,65539.,0.,73728.,0.
setrip-smallbuf,65539.,0.,65539.,0.,73728.,0.

heap_chunks,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,,,,,1.,0.
bdd,,,,,3.,0.
cpdf-merge,,,,,33.,0.
cpdf-reformat,,,,,30.,0.
cpdf-squeeze,,,,,32.,0.
cpdf-transform,,,,,20.,0.
frama-c-deflate,,,,,22.,0.
frama-c-idct,,,,,2.,nan
jsontrip-sample,,,,,1.,0.
kb,,,,,7.,0.
kb-no-exc,,,,,8.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,1.,0.
menhir-sql,,,,,33.,0.
menhir-standard,,,,,1.,0.
minilight,,,,,4.,0.
numal-durand-kerner-aberth,,,,,1.,0.
numal-fft,,,,,16.,0.
numal-k-means,,,,,2.,0.
numal-levinson-durbin,,,,,2.,0.
numal-lu-decomposition,,,,,21.,0.
numal-naive-multilayer,,,,,1.,0.
numal-qr-decomposition,,,,,1.,0.
numal-rnd_access,,,,,2.,0.
numal-simple_access,,,,,15.,0.
patdiff,,,,,11.,0.
sequence,,,,,1.,0.
sequence-cps,,,,,1.,0.
setrip,,,,,1.,0.
setrip-smallbuf,,,,,1.,0.

mean_space_overhead,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,0.,0.,0.,0.,,
bdd,29.488469,3.64500732561e-15,29.485306,3.64500732561e-15,,
cpdf-squeeze,29.224819,0.,29.218629,0.,,
cpdf-transform,32.845487,0.,32.84631,0.,,
jsontrip-sample,334.905959,9.11531646546e-13,334.791105,1.880034021e-12,,
kb,76.408037,0.,66.924631,1.50728876034e-14,,
lexifi-g2pp,96.790652,0.,91.8504,0.,,
menhir-fancy,0.,0.,0.,0.,,
menhir-standard,0.,0.,0.,0.,,
minilight,52.217668,0.,52.208121,0.,,
numal-durand-kerner-aberth,656.587855,6.891898268e-13,656.331542,0.,,
numal-fft,38.612443,0.,38.656878,0.,,
numal-k-means,10.199212,7.18571722086e-15,11.47746,5.38928791564e-15,,
numal-levinson-durbin,95.500408,0.,95.500088,0.,,
numal-lu-decomposition,26.466045,0.,26.466785,3.9720546452e-15,,
numal-naive-multilayer,197.151283,0.,197.103607,0.,,
numal-qr-decomposition,57.810397,0.,57.744404,0.,,
numal-rnd_access,0.,0.,0.,0.,,
numal-simple_access,4690.892856,0.,4629.648832,0.,,
sequence,6798.526316,0.,7392.682927,0.,,
sequence-cps,7915.320031,0.,7837.636631,0.,,
setrip,624.748966,0.,624.297617,0.,,
setrip-smallbuf,623.817286,0.,623.105798,0.,,

