time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
numal-qr-decomposition,1144849539.,1288584.54615,1145858346.75,463050.448962,1174409494.,398388.189963
numal-rnd_access,5319745049.5,3855310.92691,5314653457.,402025.560444,4038948093.,56150310.0982
numal-simple_access,2499624922.,1569222.68252,2230985309.25,27700071.8,2963633425.67,7995116.73097
patdiff,,,,,219126916.526,4659259.71933
sauvola-contrast,,,,,1714533.,nan
sequence,896797678.4,1558298.05783,819721656.8,1070449.97634,845395755.8,2196006.83931
sequence-cps,1146237417.25,18115340.8431,1129988686.5,2884208.34256,873016596.,6076142.04726
setrip,977350500.6,13271407.3945,970795170.,12088706.7231,894347401.2,5001419.85304
setrip-smallbuf,971843901.4,14264240.4369,967254274.,14030432.2129,896351319.,10139013.8889

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,791929.,0.,792024.,0.,722441.,0.
bdd,824550.,0.,824677.,0.,748542.,0.
cpdf-merge,5425841.,0.,5425968.,0.,4914923.,0.
cpdf-reformat,5425841.,0.,5425968.,0.,4914923.,0.
cpdf-squeeze,5425841.,0.,5425968.,0.,4914923.,0.
cpdf-transform,5425841.,0.,5425968.,0.,4914923.,0.
frama-c-deflate,,,,,14161081.,0.
frama-c-idct,,,,,14161081.,0.
jsontrip-sample,1656852.,0.,1656979.,0.,1406209.,0.
kb,863527.,0.,863622.,0.,787631.,0.
kb-no-exc,867518.,0.,867613.,0.,791390.,0.
lexifi-g2pp,1001609.,0.,1001736.,0.,902335.,0.
menhir-fancy,3971660.,0.,3971819.,0.,3274517.,0.
menhir-sql,3971660.,0.,3971819.,0.,3274517.,0.
menhir-standard,3971660.,0.,3971819.,0.,3274517.,0.
minilight,1615793.,0.,1615920.,0.,1337342.,0.
numal-durand-kerner-aberth,953494.,0.,953621.,0.,844422.,0.
numal-fft,820994.,0.,821121.,0.,746026.,0.
numal-k-means,13645264.,0.,13645391.,0.,8398720.,0.
numal-levinson-durbin,539415.,0.,539542.,0.,503251.,0.
numal-lu-decomposition,1529178.,0.,1529305.,0.,1210786.,0.
numal-naive-multilayer,1225195.,0.,1225322.,0.,1074833.,0.
numal-qr-decomposition,1025372.,0.,1025499.,0.,918732.,0.
numal-rnd_access,517261.,0.,517388.,0.,458023.,0.
numal-simple_access,423344.,0.,423471.,0.,387684.,0.
patdiff,,,,,18398479.,0.
sauvola-contrast,,,,,1935177.,0.
sequence,953851.,0.,953978.,0.,859363.,0.
sequence-cps,768730.,0.,768825.,0.,704194.,0.
setrip,1368454.,0.,1368581.,0.,1167971.,0.
setrip-smallbuf,1368454.,0.,1368581.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,605973.,0.,606068.,0.,528085.,0.
bdd,638018.,0.,638145.,0.,554346.,0.
cpdf-merge,3570009.,0.,3570136.,0.,3124099.,0.
cpdf-reformat,3570009.,0.,3570136.,0.,3124099.,0.
cpdf-squeeze,3570009.,0.,3570136.,0.,3124099.,0.
cpdf-transform,3570009.,0.,3570136.,0.,3124099.,0.
frama-c-deflate,,,,,10199177.,0.
frama-c-idct,,,,,10199177.,0.
jsontrip-sample,1287884.,0.,1288011.,0.,1061489.,0.
kb,667587.,0.,667682.,0.,583483.,0.
kb-no-exc,670842.,0.,670937.,0.,586538.,0.
lexifi-g2pp,768293.,0.,768420.,0.,664427.,0.
menhir-fancy,2938012.,0.,2938139.,0.,2371205.,0.
menhir-sql,2938012.,0.,2938139.,0.,2371205.,0.
menhir-standard,2938012.,0.,2938139.,0.,2371205.,0.
minilight,1261257.,0.,1261384.,0.,1014158.,0.
numal-durand-kerner-aberth,743826.,0.,743953.,0.,634322.,0.
numal-fft,636062.,0.,636189.,0.,553238.,0.
numal-k-means,11005868.,0.,11005995.,0.,7160108.,0.
numal-levinson-durbin,332851.,0.,332978.,0.,283743.,0.
numal-lu-decomposition,1145334.,0.,1145461.,0.,891886.,0.
numal-naive-multilayer,874079.,0.,874206.,0.,733333.,0.
numal-qr-decomposition,759224.,0.,759351.,0.,651928.,0.
numal-rnd_access,405321.,0.,405448.,0.,336339.,0.
numal-simple_access,330700.,0.,330827.,0.,281968.,0.
patdiff,,,,,14145607.,0.
sauvola-contrast,,,,,1451769.,0.
sequence,742647.,0.,742774.,0.,643119.,0.
sequence-cps,593686.,0.,593781.,0.,519374.,0.
setrip,1068158.,0.,1068285.,0.,882227.,0.
setrip-smallbuf,1068158.,0.,1068285.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,185956.,0.,185956.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1790824.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1790824.,0.
frama-c-deflate,,,,,3961904.,0.
frama-c-idct,,,,,3961904.,0.
jsontrip-sample,368968.,0.,368968.,0.,344720.,0.
kb,195940.,0.,195940.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,237908.,0.
menhir-fancy,1033648.,0.,1033680.,0.,903312.,0.
menhir-sql,1033648.,0.,1033680.,0.,903312.,0.
menhir-standard,1033648.,0.,1033680.,0.,903312.,0.
minilight,354536.,0.,354536.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,105716.,0.
patdiff,,,,,4252872.,0.
sauvola-contrast,,,,,483408.,0.
sequence,211204.,0.,211204.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499312.,0.,11689154.,0.
bdd,78092088.,0.,78092090.,0.,76776856.,0.
cpdf-merge,182077657.,nan,186168648.,nan,197535883.,0.
cpdf-reformat,442438042.,nan,444797388.,nan,448744421.,0.
cpdf-squeeze,396486390.,0.,386787458.,0.,403639819.,0.
cpdf-transform,55259047.,0.,55783336.,0.,55760053.,0.
frama-c-deflate,,,,,2473343011.5,90979.8940014
frama-c-idct,,,,,23799677.,nan
jsontrip-sample,5379543.,0.,5117393.,0.,7160780.,0.
kb,90744306.,0.,90482693.,0.,90578323.,0.
kb-no-exc,37347329.,nan,37609474.,nan,37503337.,0.
lexifi-g2pp,1664604581.,0.,1579408257.,0.,1678613459.,0.
menhir-fancy,1359641.,0.,1359670.,0.,2238235.,0.
menhir-sql,1005055021.,nan,1007629239.,nan,1032167255.,0.
menhir-standard,2585248.,0.,2585276.,0.,1432097.,0.
minilight,9653994739.,0.,9665266779.,0.,9747431685.,0.
numal-durand-kerner-aberth,77191398.,0.,76667114.,0.,77414786.,0.
numal-fft,256386827.,0.,274390357.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,102494197.,0.
numal-levinson-durbin,1001931673.,0.,964969373.,0.,1000784001.,0.
numal-lu-decomposition,2323177.,0.,2318861.,0.,542217436.,0.
numal-naive-multilayer,2169451640.,0.,2163946625.,0.,2170639423.,0.
numal-qr-decomposition,1664961502.,0.,1645562910.,0.,1711440705.,0.
numal-rnd_access,1937304.,136488.579332,1998970.,119585.898834,199995208.,15365.3309325
numal-simple_access,207971917.,0.,227632419.,0.,640006201.,0.
patdiff,,,,,36596878.,0.
sequence,751505769.,0.,749670770.,0.,750492812.,0.
sequence-cps,1501719665.,0.,1502243949.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,170650322.,0.
setrip-smallbuf,168203713.,0.,171087555.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,979.,0.,939.,0.
bdd,583194.,0.,583196.,0.,664841.,0.
cpdf-merge,88005934.,nan,90412572.,nan,95303277.,0.
cpdf-reformat,72781274.,nan,75226835.,nan,75793761.,0.
cpdf-squeeze,135732461.,0.,132492420.,0.,138739074.,0.
cpdf-transform,27404613.,0.,28027018.,0.,27953626.,0.
frama-c-deflate,,,,,186978873.5,5108.84649407
frama-c-idct,,,,,2650597.,nan
jsontrip-sample,26923.,0.,26478.,0.,29376.,0.
kb,4836364.,0.,4817598.,0.,4873136.,0.
kb-no-exc,4618698.,nan,4644391.,nan,4699054.,0.
lexifi-g2pp,277213.,0.,265899.,0.,278186.,0.
menhir-fancy,272089.,0.,272102.,0.,328749.,0.
menhir-sql,50751596.,nan,55248631.,nan,56163401.,0.
menhir-standard,242326.,0.,242338.,0.,274012.,0.
minilight,10547447.,0.,10557519.,0.,10641824.,0.
numal-durand-kerner-aberth,229455.,0.,227979.,0.,227630.,0.
numal-fft,130782695.,0.,139784461.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,536219.,0.
numal-levinson-durbin,250058475.,0.,240820094.,0.,250064165.,0.
numal-lu-decomposition,6984362.,0.,4624732.,0.,7775111.,0.
numal-naive-multilayer,1259751.,0.,1256522.,0.,1282790.,0.
numal-qr-decomposition,2646191.,0.,2594502.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000217.,0.,200000139.,0.
numal-simple_access,192577233.,0.,208961135.,0.,220001887.,0.
patdiff,,,,,9210069.,0.
sequence,37391.,0.,37288.,0.,38258.,0.
sequence-cps,201326.,0.,201401.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13269.,0.
setrip-smallbuf,13191.,0.,13317.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,0.000598280793119,0.,0.000600942298868,0.,8.03308776666e-05,0.
bdd,0.0056885660427,0.,0.0056885915078,1.77978873321e-18,0.00685046285302,2.66634390763e-18
cpdf-merge,0.444838693196,nan,0.435350988852,nan,0.423203322507,0.
cpdf-reformat,0.140862328922,nan,0.145318616394,nan,0.145303994765,0.
cpdf-squeeze,0.305221256145,0.,0.312194993665,0.,0.304896690581,0.
cpdf-transform,0.46810883293,0.,0.467827865297,0.,0.466708613064,0.
frama-c-deflate,,,,,0.0490739317733,4.35815194934e-06
frama-c-idct,,,,,0.0946756546318,nan
jsontrip-sample,0.0019423583007,8.69287071629e-18,0.00195490164621,6.08506960116e-18,0.0018137688911,7.16873295827e-18
kb,0.0532957516916,0.,0.0532424471495,7.35980840008e-18,0.0538002453413,7.31423639287e-18
kb-no-exc,0.123666675065,nan,0.123487847769,nan,0.125296956908,0.
lexifi-g2pp,0.000166486986257,0.,0.000168304172668,0.,0.000165723680165,0.
menhir-fancy,0.103570721977,3.19795367267e-16,0.103578074092,3.05902448166e-16,0.0802002470697,4.7246036927e-16
menhir-sql,0.0427537558663,nan,0.0451992431712,nan,0.0447321243494,0.
menhir-standard,0.0410045767369,3.7523517511e-16,0.0410087743049,1.7372141068e-16,0.08758065969,7.08451341894e-16
minilight,0.00109080678876,0.,0.00109057672602,0.,0.00109004159694,0.
numal-durand-kerner-aberth,0.0029715357662,1.75270036519e-18,0.00297260439463,1.3145252739e-18,0.00294039435826,4.37912002057e-19
numal-fft,0.489649692494,0.,0.490328809186,0.,0.511005343814,0.
numal-k-means,0.136950926568,5.61384157879e-17,0.136948026771,5.61384157879e-17,0.00352236527108,2.18956001029e-18
numal-levinson-durbin,3.49105642057e-05,0.,3.49441142315e-05,0.,4.07140801205e-05,0.
numal-lu-decomposition,0.0674868940249,0.,0.0675926672621,0.,0.000548918165,0.
numal-naive-multilayer,0.000580478945362,0.,0.000580463485323,0.,0.000590811162099,0.
numal-qr-decomposition,0.00158929380458,0.,0.00157661793678,0.,0.00157386054459,0.
numal-rnd_access,7.03753075345e-05,4.95814066632e-06,6.91593098179e-05,4.13736985914e-06,6.90016535851e-07,5.30094653823e-11
numal-simple_access,0.829809892073,0.,0.830114870413,0.,0.312499919044,0.
patdiff,,,,,0.186792682152,8.55484294927e-17
sequence,4.96509827857e-05,0.,4.96351218282e-05,0.,5.09771704516e-05,7.57609299697e-21
sequence-cps,0.000134011696517,0.,0.000134014851672,0.,0.000148401400194,0.
setrip,2.92026907997e-05,0.,2.92128595008e-05,0.,2.97450361682e-05,0.
setrip-smallbuf,2.92026847231e-05,0.,2.94469109691e-05,0.,2.95809674883e-05,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.
bdd,523929.,0.,573081.,0.,650240.,0.
cpdf-merge,37717860.,nan,41250573.,nan,43174400.,0.
cpdf-reformat,26626331.,nan,30748513.,nan,28387328.,0.
cpdf-squeeze,37732858.,0.,39037390.,0.,37542912.,0.
cpdf-transform,14171928.,0.,15729863.,0.,14480384.,0.
frama-c-deflate,,,,,88571904.,0.
frama-c-idct,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,491520.,0.
kb,380928.,0.,446464.,0.,565248.,0.
kb-no-exc,434176.,nan,507904.,nan,646656.,0.
lexifi-g2pp,140259.,0.,152547.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-sql,36561784.,nan,48192139.,nan,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.
minilight,856666.,0.,1106522.,0.,748032.,0.
numal-durand-kerner-aberth,53248.,0.,49152.,0.,565248.,0.
numal-fft,73334802.,0.,55197714.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,301886.,0.,18155498.,0.,565248.,0.
numal-lu-decomposition,7035930.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,69986.,0.,74082.,0.,565248.,0.
numal-qr-decomposition,375842.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,192855299.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3861504.,0.
sequence,32768.,0.,36864.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,44.,0.
bdd,291.,0.,291.,0.,295.,0.
cpdf-merge,696.,nan,714.,nan,772.,0.
cpdf-reformat,1685.,nan,1694.,nan,1725.,0.
cpdf-squeeze,1513.,0.,1476.,0.,1560.,0.
cpdf-transform,212.,0.,214.,0.,220.,0.
frama-c-deflate,,,,,9450.5,0.707106781187
frama-c-idct,,,,,93.,nan
jsontrip-sample,18.,0.,17.,0.,28.,0.
kb,342.,0.,341.,0.,385.,0.
kb-no-exc,142.,nan,143.,nan,168.,0.
lexifi-g2pp,6348.,0.,6023.,0.,6409.,0.
menhir-fancy,5.,0.,5.,0.,9.,0.
menhir-sql,3857.,nan,3867.,nan,3967.,0.
menhir-standard,4.,0.,4.,0.,5.,0.
minilight,36824.,0.,36867.,0.,37211.,0.
numal-durand-kerner-aberth,292.,0.,290.,0.,338.,0.
numal-fft,171.,0.,183.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,391.,0.
numal-levinson-durbin,3817.,0.,3676.,0.,4885.,0.
numal-lu-decomposition,29.,0.,20.,0.,2097.,0.
numal-naive-multilayer,8274.,0.,8253.,0.,8352.,0.
numal-qr-decomposition,6347.,0.,6273.,0.,6552.,0.
numal-rnd_access,1.,0.,1.,0.,763.,0.
numal-simple_access,791.,0.,866.,0.,2446.,0.
patdiff,,,,,151.,0.
sequence,2860.,0.,2853.,0.,2931.,0.
sequence-cps,5723.,0.,5725.,0.,6176.,0.
setrip,634.,0.,639.,0.,656.,0.
setrip-smallbuf,634.,0.,645.,0.,655.,0.

major_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,0.,0.
bdd,7.,0.,5.,0.,5.,0.
cpdf-merge,42.,nan,30.,nan,24.,0.
cpdf-reformat,41.,nan,29.,nan,24.,0.
cpdf-squeeze,50.,0.,36.,0.,32.,0.
cpdf-transform,21.,0.,15.,0.,13.,0.
frama-c-deflate,,,,,24.,0.
frama-c-idct,,,,,5.,nan
jsontrip-sample,2.,0.,2.,0.,2.,0.
kb,95.,0.,67.,0.,63.,0.
kb-no-exc,85.,nan,56.,nan,40.,0.
lexifi-g2pp,20.,0.,11.,0.,11.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.
menhir-sql,21.,nan,15.,nan,17.,0.
menhir-standard,1.,0.,1.,0.,1.,0.
minilight,60.,0.,38.,0.,56.,0.
numal-durand-kerner-aberth,43.,0.,47.,0.,85.,0.
numal-fft,7.,0.,10.,0.,3.,0.
numal-k-means,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,3815.,0.,72.,0.,1755.,0.
numal-lu-decomposition,5.,0.,3.,0.,5.,0.
numal-naive-multilayer,234.,0.,129.,0.,143.,0.
numal-qr-decomposition,32.,0.,9.,0.,40.,0.
numal-rnd_access,1.,0.,1.,0.,0.,0.
numal-simple_access,7.,0.,5.,0.,8.,0.
patdiff,,,,,10.,0.
sequence,245.,0.,156.,0.,136.,0.
sequence-cps,1248.,0.,961.,0.,898.,0.
setrip,21.,0.,13.,0.,10.,0.
setrip-smallbuf,21.,0.,13.,0.,9.,0.

compactions,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,,,,,0.,0.
bdd,,,,,0.,0.
cpdf-merge,,,,,0.,0.
cpdf-reformat,,,,,0.,0.
cpdf-squeeze,,,,,0.,0.
cpdf-transform,,,,,0.,0.
frama-c-deflate,,,,,0.,0.
frama-c-idct,,,,,0.,nan
jsontrip-sample,,,,,0.,0.
kb,,,,,3.,0.
kb-no-exc,,,,,3.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,0.,0.
menhir-sql,,,,,0.,0.
menhir-standard,,,,,0.,0.
minilight,,,,,0.,0.
numal-durand-kerner-aberth,,,,,2.,0.
numal-fft,,,,,0.,0.
numal-k-means,,,,,0.,0.
numal-levinson-durbin,,,,,382.,0.
numal-lu-decomposition,,,,,0.,0.
numal-naive-multilayer,,,,,2.,0.
numal-qr-decomposition,,,,,0.,0.
numal-rnd_access,,,,,0.,0.
numal-simple_access,,,,,0.,0.
patdiff,,,,,1.,0.
sequence,,,,,2.,0.
sequence-cps,,,,,2.,0.
setrip,,,,,2.,0.
setrip-smallbuf,,,,,2.,0.

heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.
bdd,507542.,0.,573081.,0.,650240.,0.
cpdf-merge,32442212.,nan,37871373.,nan,43174400.,0.
cpdf-reformat,26517234.,nan,30609141.,nan,28387328.,0.
cpdf-squeeze,27202597.,0.,28036569.,0.,37542912.,0.
cpdf-transform,6245942.,0.,10593479.,0.,14480384.,0.
frama-c-deflate,,,,,88571904.,0.
frama-c-idct,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,491520.,0.
kb,229376.,0.,225280.,0.,430080.,0.
kb-no-exc,245760.,nan,270336.,nan,494592.,0.
lexifi-g2pp,140259.,0.,152547.,0.,163328.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-sql,34251643.,nan,48192139.,nan,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.
minilight,856666.,0.,1094234.,0.,748032.,0.
numal-durand-kerner-aberth,53248.,0.,49152.,0.,73728.,0.
numal-fft,73334802.,0.,50323465.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,202736.,0.,18155498.,0.,122880.,0.
numal-lu-decomposition,6986778.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,69986.,0.,74082.,0.,73728.,0.
numal-qr-decomposition,289750.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,192855299.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3824640.,0.
sequence,32768.,0.,36864.,0.,73728.,0.
sequence-cps,32768.,0.,32768.,0.,73728.,0.
setrip,65539.,0.,65539.,0.,73728.,0.
setrip-smallbuf,65539.,0.,65539.,0.,73728.,0.

heap_chunks,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,,,,,1.,0.
bdd,,,,,3.,0.
cpdf-merge,,,,,33.,0.
cpdf-reformat,,,,,30.,0.
cpdf-squeeze,,,,,32.,0.
cpdf-transform,,,,,20.,0.
frama-c-deflate,,,,,22.,0.
frama-c-idct,,,,,2.,nan
jsontrip-sample,,,,,1.,0.
kb,,,,,7.,0.
kb-no-exc,,,,,8.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,1.,0.
menhir-sql,,,,,33.,0.
menhir-standard,,,,,1.,0.
minilight,,,,,4.,0.
numal-durand-kerner-aberth,,,,,1.,0.
numal-fft,,,,,16.,0.
numal-k-means,,,,,2.,0.
numal-levinson-durbin,,,,,2.,0.
numal-lu-decomposition,,,,,21.,0.
numal-naive-multilayer,,,,,1.,0.
numal-qr-decomposition,,,,,1.,0.
numal-rnd_access,,,,,2.,0.
numal-simple_access,,,,,15.,0.
patdiff,,,,,11.,0.
sequence,,,,,1.,0.
sequence-cps,,,,,1.,0.
setrip,,,,,1.,0.
setrip-smallbuf,,,,,1.,0.

mean_space_overhead,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,0.,0.,0.,0.,,
bdd,31.872438,3.64500732561e-15,29.485306,3.64500732561e-15,,
cpdf-squeeze,26.396463,0.,29.218629,4.35116785763e-15,,
cpdf-transform,32.93405,0.,32.84631,0.,,
jsontrip-sample,334.905959,8.54543962895e-13,334.791105,1.88001528651e-12,,
kb,35.363297,7.53644380168e-15,66.924631,1.50728876034e-14,,
lexifi-g2pp,104.384003,0.,91.8504,0.,,
menhir-fancy,0.,0.,0.,0.,,
menhir-standard,0.,0.,0.,0.,,
minilight,41.915908,0.,52.208121,0.,,
numal-durand-kerner-aberth,660.154283,0.,656.331542,0.,,
numal-fft,3318.852158,0.,38.656878,0.,,
numal-k-means,10.199212,7.18571722086e-15,11.47746,5.38928791564e-15,,
numal-levinson-durbin,91.36513,1.74046714305e-14,95.500088,0.,,
numal-lu-decomposition,14.790686,1.9860273226e-15,26.466785,3.9720546452e-15,,
numal-naive-multilayer,240.896473,0.,197.103607,0.,,
numal-qr-decomposition,67.912241,0.,57.744404,0.,,
numal-rnd_access,0.,0.,0.,0.,,
numal-simple_access,3127.309002,0.,4629.648832,0.,,
sequence,8092.,0.,7392.682927,0.,,
sequence-cps,9595.028594,0.,7837.636631,0.,,
setrip,637.025581,0.,624.297617,0.,,
setrip-smallbuf,636.528614,0.,623.105798,0.,,

